lang	filename	speaker	gend	item	inform	itemdur	f0md	f0mn	f0sd	f0hzq05	f0hzq95	f0stq05	f0stq95	f0strange	intmd	intmn	intsd
Japanese	F_ppt_13_2_cas	JF13	female	I2	inform	3.0938321995464855	214.53691190273173	213.22247921019866	24.071498590656084	186.5538627399513	251.5322729774178	90.5212449251404	95.69518831903787	5.173943393897474	65.63102630876863	70.8415104684583	12.056654453393273
Japanese	F_ppt_13_2_pol	JF13	female	I2	pol	5.7431065759637185	231.68272768980003	227.72702499043325	19.66962136109758	197.70574868080888	258.4321185629081	91.5265309859271	96.16369620448982	4.637165218562728	59.91007047411022	68.33788033207992	12.718597671322856
Japanese	F_ppt_13_3_cas	JF13	female	I3	inform	1.879251700680272	231.34839874088726	234.47904625484912	28.03695737449991	195.01745421787896	279.7563207155771	91.28951282529836	97.53627259991238	6.24675977461402	72.22411721640312	75.0585643855332	11.46685437085631
Japanese	F_ppt_13_3_pol	JF13	female	I3	pol	1.6973242630385488	252.81438402957505	246.54779637907168	25.85627592347472	206.27312212769957	276.9205836483756	92.26093979321118	97.35994180469083	5.099002011479655	71.92202882231933	75.61673251520658	9.838686800760664
Japanese	F_ppt_13_4_cas	JF13	female	I4	inform	2.043015873015873	216.74970159769043	224.29521349683864	60.6009149806637	100.14507249764715	334.28402048790684	79.75077121703606	100.61915604095181	20.868384823915747	64.18359369505859	71.26986914122607	10.957951869088193
Japanese	F_ppt_13_4_pol	JF13	female	I4	pol	7.4294784580498865	230.17981864033348	234.1202062070076	32.30510952385116	191.10618444189734	291.1008715054502	90.93876459485818	98.22446788367742	7.285703288819235	59.59241549023184	68.9619135290123	14.415805396174186
Japanese	F_ppt_13_5_cas	JF13	female	I5	inform	12.514149659863946	235.1387222645261	256.3856501594032	53.15654737453514	192.04727635840013	349.715116580545	91.0238072760742	101.40043197180321	10.37662469572902	50.66270147658194	69.04610333463587	15.694387719686176
Japanese	F_ppt_13_5_pol	JF13	female	I5	pol	17.318185941043083	221.42692136751276	223.68581088133016	40.15085633170333	179.12650845001406	287.8618507861584	89.81802050848768	98.03077865370739	8.21275814521971	57.984953477569576	69.34315231906902	14.586284879535448
Japanese	F_ppt_13_6_cas	JF13	female	I6	inform	2.5038548752834466	225.08749072827737	234.6304547642841	44.48925965613549	186.37045958294945	317.51047678991637	90.50433426373122	99.72785100654022	9.223516742808997	63.02345964831086	71.39298768861414	12.24889440365143
Japanese	F_ppt_13_6_pol	JF13	female	I6	pol	6.300068027210885	244.7798048122979	239.9576727601371	30.457658581633126	195.62974763243272	275.339750840679	91.34378279776605	97.26082428178475	5.9170414840186965	63.189260495748236	70.37367926861756	13.407599002700719
Japanese	F_ppt_14_1_cas	JF14	female	I1	inform	6.722585034013606	240.06620892023767	233.83542928467585	40.869878640391946	115.38376941822092	286.7295677960684	82.2032050617285	97.96254268034748	15.759337618618986	65.43829953483672	70.99465670201472	12.938236091297558
Japanese	F_ppt_14_1_pol	JF14	female	I1	pol	28.406825396825397	221.71415490106574	228.7346454259586	27.313589654776123	197.53223913556243	276.3541099325928	91.51133186700694	97.32449108955423	5.813159222547284	63.162068376904955	67.88465488196853	13.531984997944322
Japanese	F_ppt_14_2_cas	JF14	female	I2	inform	8.334580498866213	240.10326506564866	245.38743918308325	39.9528451204472	201.07691829644304	303.1237852858505	91.81924021660426	98.92515881309927	7.105918596495016	64.69924901652512	71.53644856502635	16.26389959889586
Japanese	F_ppt_14_2_pol	JF14	female	I2	pol	9.33297052154195	219.42466745872207	221.3563560632409	17.605765998020736	195.44902065072304	256.7759510098751	91.32778157447692	96.05237526301414	4.724593688537226	63.47829982559705	66.79376740295554	11.661867695775726
Japanese	F_ppt_14_3_cas	JF14	female	I3	inform	2.2988208616780046	268.22138448910783	271.0401874037966	29.960673176481855	223.52473082660043	312.93378273726984	93.65145950913524	99.47653624165235	5.825076732517118	68.95793043105293	70.93185372870556	11.62893506228733
Japanese	F_ppt_14_3_pol	JF14	female	I3	pol	6.2443990929705215	253.1884909315899	256.8756339619047	35.403477327258216	208.5776208328528	306.50320089620516	92.45326184877146	99.11707450756825	6.663812658796786	66.63628469107665	69.93746445132558	13.56379755928513
